Date	Size	Path	File name	Extension
2010-11-11	5956	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	magnetics_RTP	aux
2010-08-19	412	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	magnetics_RTP_TA_contour_0_lnzCopy	sbn
2010-08-19	908	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	magnetics_RTP_1VD	ers
2010-08-19	156	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	magnetics_RTP_TA_contour_0_lnz	sbx
2010-08-26	2209	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	Bouguer_gravity_2VD_contour_0_lnz	dbf
2010-08-19	300	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	magnetics_RTP_TA_contour_0_lnz	shx
2010-08-19	66	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	magnetics_RTP_TG_lineaments	dbf
2010-08-23	8770	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	magnetics_RTP_pass_below4000	aux
2010-08-19	907	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	magnetics_RTP_HG	ers
2010-08-19	313	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	Bouguer_gravity_TA_contour_0_lnz	dbf
2010-08-19	356	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	magnetics_RTP_TA_polygons	shx
2010-08-23	5950	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	magnetics_RTP_HG	aux
2010-08-23	5962	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	magnetics_RTP_1VD	aux
2010-08-19	848572	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	magnetics_RTP_TA_contour_0_lnzCopy	shp
2010-08-19	164	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	Bouguer_gravity_HG_lineaments	dbf
2010-08-19	132	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	Bouguer_gravity_TG_lineaments	sbx
2010-08-19	100	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	magnetics_RTP_TG_lineaments	shx
2010-08-19	5949	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	Bouguer_gravity_TG	aux
2010-10-27	1212	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	Lineaments_combined	shx
2010-08-19	107149	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	lines_anno	dxf
2010-10-26	408	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	Lineaments_combined	prj
2010-08-19	87	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	Bouguer_gravity_TG_lineaments	dbf
2010-10-27	1628	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	Lineaments_combined	sbn
2010-08-19	907	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	Bouguer_gravity_1VD	ers
2010-08-23	923	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	magnetics_RTP_DM2700	ers
2010-08-23	922	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	Bouguer_gravity_DM2000	ers
2010-08-19	180	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	Bouguer_gravity_TG_lineaments	sbn
2010-08-19	270108	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	Bouguer_gravity_TA_contour_0_lnz	shp
2010-08-19	907	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	magnetics_RTP_TA	ers
2010-08-19	150	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	Bouguer_gravity_1VD_lineaments	dbf
2010-08-23	923	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	Bouguer_gravity_DM11000	ers
2010-08-19	290	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	magnetics_RTP_TA_polygons	dbf
2010-08-19	412	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	magnetics_RTP_TA_contour_0_lnz	sbn
2010-09-02	915	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	3deuler	ers
2010-10-27	1039	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	Lineaments_combined	dbf
2008-07-09	398	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	wells	prj
2010-08-19	907	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	Bouguer_gravity_2VD	ers
2010-08-19	913	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	Bouguer_gravity_TA	ers
2010-08-19	649	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	Bouguer_gravity_coherence_contour_0.97_lnz	dbf
2010-08-19	533252	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation/ArcGIS	magnetics_RTP_TA_polygons	shp
2015-11-21	4096	data_sample/GRAVMAG INTERPRETATION - FUGRO/Qualitative_Interpretation	Grids	
